"Gene","external_gene_name"
"ENSG00000276582","ABCB11"
"ENSG00000275211","CYP2D6"
"ENSG00000272532","CYP2D6"
"ENSG00000277132","UGT2B15"
"ENSG00000277656","GSTT1"
"ENSG00000275565","ALOX5"
"ENSG00000276191","CRHR1"
"ENSG00000262243","CES1"
"ENSG00000276996","SLC6A3"
"ENSG00000278232","CRHR1"
"ENSG00000280905","CYP2D6"
"ENSG00000282966","CYP2D6"
"ENSG00000283284","CYP2D6"
"ENSG00000088386","SLC15A1"
"ENSG00000125257","ABCC4"
"ENSG00000124212","PTGIS"
"ENSG00000173638","SLC19A1"
"ENSG00000160179","ABCG1"
"ENSG00000102468","HTR2A"
"ENSG00000156006","NAT2"
"ENSG00000137364","TPMT"
"ENSG00000165841","CYP2C19"
"ENSG00000093010","COMT"
"ENSG00000142494","SLC47A1"
"ENSG00000186115","CYP4F2"
"ENSG00000167910","CYP7A1"
"ENSG00000165092","ALDH1A1"
"ENSG00000108576","SLC6A4"
"ENSG00000176890","TYMS"
"ENSG00000100197","CYP2D6"
"ENSG00000198873","GRK5"
"ENSG00000140505","CYP1A2"
"ENSG00000255974","CYP2A6"
"ENSG00000146477","SLC22A3"
"ENSG00000197408","CYP2B6"
"ENSG00000112499","SLC22A2"
"ENSG00000106546","AHR"
"ENSG00000106415","GLCCI1"
"ENSG00000196616","ADH1B"
"ENSG00000171234","UGT2B7"
"ENSG00000184845","DRD1"
"ENSG00000248144","ADH1C"
"ENSG00000171428","NAT1"
"ENSG00000176697","BDNF"
"ENSG00000167397","VKORC1"
"ENSG00000130164","LDLR"
"ENSG00000169860","P2RY1"
"ENSG00000096060","FKBP5"
"ENSG00000187758","ADH1A"
"ENSG00000178394","HTR1A"
"ENSG00000189221","MAOA"
"ENSG00000198848","CES1"
"ENSG00000005421","PON1"
"ENSG00000151623","NR3C2"
"ENSG00000023839","ABCC2"
"ENSG00000175003","SLC22A1"
"ENSG00000165029","ABCA1"
"ENSG00000149295","DRD2"
"ENSG00000188641","DPYD"
"ENSG00000138109","CYP2C9"
"ENSG00000138115","CYP2C8"
"ENSG00000150347","ARID5B"
"ENSG00000160211","G6PD"
"ENSG00000169252","ADRB2"
"ENSG00000159640","ACE"
"ENSG00000113161","HMGCR"
"ENSG00000059377","TBXAS1"
"ENSG00000095303","PTGS1"
"ENSG00000102935","ZNF423"
"ENSG00000180638","SLC47A2"
"ENSG00000111700","SLCO1B3"
"ENSG00000130649","CYP2E1"
"ENSG00000241119","UGT1A9"
"ENSG00000148053","NTRK2"
"ENSG00000241635","UGT1A1"
"ENSG00000012779","ALOX5"
"ENSG00000073734","ABCB11"
"ENSG00000125388","GRK4"
"ENSG00000106258","CYP3A5"
"ENSG00000244474","UGT1A4"
"ENSG00000118777","ABCG2"
"ENSG00000043591","ADRB1"
"ENSG00000091831","ESR1"
"ENSG00000111424","VDR"
"ENSG00000172831","CES2"
"ENSG00000196620","UGT2B15"
"ENSG00000140465","CYP1A1"
"ENSG00000183873","SCN5A"
"ENSG00000123454","DBH"
"ENSG00000085563","ABCB1"
"ENSG00000143257","NR1I3"
"ENSG00000196218","RYR1"
"ENSG00000144852","NR1I2"
"ENSG00000084207","GSTP1"
"ENSG00000197901","SLC22A6"
"ENSG00000118137","APOA1"
"ENSG00000142319","SLC6A3"
"ENSG00000187486","KCNJ11"
"ENSG00000291237","SOD2"
"ENSG00000055118","KCNH2"
"ENSG00000196502","SULT1A1"
"ENSG00000181019","NQO1"
"ENSG00000134538","SLCO1B1"
"ENSG00000169313","P2RY12"
"ENSG00000160868","CYP3A4"
"ENSG00000137491","SLCO2B1"
"ENSG00000163406","SLC15A2"
"ENSG00000084453","SLCO1A2"
"ENSG00000012048","BRCA1"
"ENSG00000073756","PTGS2"
"ENSG00000136531","SCN2A"
"ENSG00000127948","POR"
"ENSG00000146648","EGFR"
"ENSG00000143819","EPHX1"
"ENSG00000120088","CRHR1"
"ENSG00000187800","PEAR1"
"ENSG00000186104","CYP2R1"
"ENSG00000144285","SCN1A"
"ENSG00000198734","F5"
"ENSG00000134716","CYP2J2"
"ENSG00000177000","MTHFR"
"ENSG00000021826","CPS1"
"ENSG00000134184","GSTM1"
"ENSG00000198626","RYR2"
